layer,expert,panel_group,global_target_grad_bf16,global_control_grad_bf16,global_grad_specific_bf16,global_grad_ratio_bf16,scan_peak_gpu_gib,selection_supervised_positions,selection_supervised_selected_hits,selection_supervised_selected_rate,selection_supervised_routing_mass,routing_rank,global_target_grad_rank,global_grad_specific_rank
25,180,population_random,0.0,0.0,0.0,0.0,65.37926959991455,526,0,0.0,0.0,8639,8185,5553
26,142,population_random,0.0082244081422686,0.0046224002726376,0.0047576079377904,1.7792505311956563,65.39896965026855,526,0,0.0,0.0,8731,6508,4703
27,31,population_random,0.0058475160039961,0.0038306906353682,0.0029744980274699,1.5264913194713114,65.41866970062256,526,0,0.0,0.0,8791,6856,4948
28,251,population_random,0.0472158603370189,0.403871476650238,-0.2556877471506595,0.1169081330737106,65.43595886230469,526,0,0.0,0.0,8992,3611,9796
29,10,population_random,0.0,0.8928559422492981,-0.6696419566869736,0.0,65.45565891265869,526,0,0.0,0.0,8999,8185,9951
30,189,population_random,0.1275194734334945,0.3497813045978546,-0.1348165050148964,0.3645691515152298,65.4753589630127,526,3,0.005703422053231939,0.000594106463878327,5073,1749,9549
31,54,population_random,0.0435998700559139,0.0230313874781131,0.026326329447329,1.8930631120445525,65.4950590133667,526,16,0.030418250950570342,0.0021025799073193917,3290,3753,3004
32,176,population_random,0.2140905559062957,0.1462803184986114,0.1043803170323371,1.4635636434361772,65.51234817504883,526,25,0.04752851711026616,0.0049417590007129275,1930,1083,1243
33,128,population_random,0.4634394645690918,0.2138740420341491,0.3030339330434799,2.166880375753724,65.53204822540283,526,32,0.060836501901140684,0.0053887312856463875,1796,462,457
34,230,population_random,0.0046282624825835,0.0540264695882797,-0.0358915897086262,0.0856665726590784,65.55174827575684,526,14,0.026615969581749048,0.00215595665993346,3247,7043,8717
35,45,population_random,0.0513261556625366,0.0016642159316688,0.0500779937137849,30.84104331354745,65.57144832611084,526,12,0.022813688212927757,0.0018686504871673003,3473,3436,2127
36,149,population_random,0.0111779328435659,0.0030530293006449,0.0088881608680821,3.661259601256756,65.58873748779297,526,15,0.028517110266159697,0.0025917894486692013,2938,6120,4198
37,107,population_random,0.0173001643270254,0.012224594131112,0.0081317187286913,1.4151933503935794,65.60843753814697,526,3,0.005703422053231939,0.0005913215898288973,5083,5400,4291
38,0,population_random,0.081121951341629,0.0140417842194437,0.0705906131770461,5.777182590765173,65.62813758850098,526,15,0.028517110266159697,0.0034309648288973382,2493,2567,1714
39,13,population_random,0.0,0.0,0.0,0.0,65.64783763885498,526,0,0.0,0.0,9918,8185,5553
10,127,population_random,0.0511392205953598,0.1426265686750412,-0.0558307059109211,0.3585532560312537,65.09341239929199,526,0,0.0,0.0,6952,3441,9059
27,70,population_random,1.099011569749564e-05,0.1019219681620597,-0.0764304860058473,0.0001078287232435,65.41866970062256,526,6,0.011406844106463879,0.0006047818144011407,5049,8054,9263
23,213,population_random,0.0034072080161422,0.015980526804924,-0.0085781870875507,0.2132099934827674,65.34228038787842,526,13,0.024714828897338403,0.002513812975285171,2991,7267,7523
6,169,population_random,0.0558497160673141,0.0069400900974869,0.0506446484941989,8.047405044422995,65.01702308654785,526,42,0.07984790874524715,0.006221872772100761,1595,3286,2111
19,155,population_random,0.0473819747567176,0.0032951107714325,0.0449106416781432,14.37947857568968,65.26589107513428,526,3,0.005703422053231939,0.00040844819391634983,5402,3599,2266
