layer,expert,target_delta_nll,control_delta_nll,causal_specificity,target_relative_delta,control_relative_delta,causal_relative_specificity,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity,renorm_target_relative_delta,renorm_control_relative_delta,renorm_causal_relative_specificity,ci_2.5,ci_97.5,p_positive
22,138,0.007426176220178604,0.012243435718119144,-0.0017564005684107542,0.004142416924285113,0.005478297680347896,3.3693664024191106e-05,0.000269553653197363,0.009392140433192253,-0.006774551671696827,0.00015036050612071006,0.004202492040082609,-0.0030015085239412462,-0.030186150688678023,0.018534438550472248,0.4546
23,57,-0.00540822371840477,0.0016413084231317043,-0.006639205035753548,-0.003016776978785628,0.0007343997497263929,-0.0035675767910804228,-0.0071466052904725075,-0.00479462742805481,-0.0071466052904725075,-0.003986468652063153,-0.00214534522187863,-0.003986468652063153,-0.029432640943676234,0.009312687315046786,0.196
24,83,-0.0017924117855727673,0.0009324708371423185,-0.002491764913429506,-0.0009998304235859024,0.0004172319716228785,-0.0013127544023030613,-0.009175713174045086,0.027271941304206848,-0.029629669152200222,-0.005118331213480964,0.012202768587604591,-0.014270407654184407,-0.02649585163407028,0.01045052212849259,0.2896
25,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,142,0.0029052651952952147,-0.008103307336568832,0.0029052651952952147,0.0016205944159830275,-0.0036258065797147615,0.0016205944159830275,0.0026861727237701416,0.004147479776293039,-0.0004244371084496379,0.001498381808158985,0.0018557804656196962,0.00010654645894421283,-0.007624226659536362,0.013688559114933009,0.6982
27,31,0.010110538452863693,0.005154380574822426,0.006244753021746874,0.005639788817153964,0.0023063159554871904,0.003910051850538571,0.001100159832276404,0.00435482757166028,-0.0021659608464688063,0.0006136833510975908,0.001948557768701752,-0.0008477349754287233,-0.007641256572678686,0.015811613576486694,0.798
28,251,0.006795806810259819,0.0001583567209308967,0.0066770392695616465,0.003790788733035917,7.085635739152646e-05,0.003737646464992272,0.0032578373793512583,-0.004553281702101231,0.0032578373793512583,0.00181726372990227,-0.0020373556214842987,0.00181726372990227,-0.00464897496253252,0.01414369094930589,0.8578
29,10,0.0006086504436098039,0.00412776181474328,-0.0024871709174476564,0.00033951307157672794,0.0018469577082249422,-0.0010457052095919788,0.004015488550066948,0.008916398510336876,-0.002671810332685709,0.0022398913297899574,0.003989622390384049,-0.000752325462998079,-0.015514840520918371,0.006218305444344871,0.287
30,189,0.003924350719898939,-0.004107192624360323,0.003924350719898939,0.0021890534720638314,-0.0018377540704098778,0.0021890534720638314,0.01278824731707573,0.0003953188715968281,0.012491758163378108,0.007133449375232322,0.0001768845369165172,0.007000785972544934,-0.007298276208341121,0.01118953129649162,0.7006
31,54,0.005286585073918104,0.007856727577745914,-0.0006059606093913317,0.002948925373244742,0.0035154750231255255,0.0003123191059005983,0.002869468880817294,0.0061675929464399815,-0.001756225829012692,0.0016006267698453758,0.0027596755444886465,-0.0004691298885211091,-0.010921402471140028,0.009115669060498474,0.451
32,176,0.0005169081850908697,0.006822550669312477,-0.004600004816893488,0.0002883380559168069,0.0030527348994398348,-0.0020012131186630693,-0.000444692384917289,0.0008130478672683239,-0.001054478285368532,-0.0002480551506947386,0.0003637964332737242,-0.0005209024756500317,-0.017279420532286167,0.007838416740298264,0.2316
33,128,-0.0065064094960689545,0.002576646860688925,-0.008438894641585648,-0.003629359176746979,0.0011529148226831457,-0.004494045293759338,-0.002730137202888727,0.002036397811025381,-0.004257435561157763,-0.0015229057619366168,0.0009111816046778477,-0.0022062919654450026,-0.017007523372769354,-0.0011262755095958717,0.011
34,230,0.0024121927563101053,0.0006772527121938765,0.001904253222164698,0.0013455522468246268,0.00030303519760636275,0.0011182758486198547,-0.0019354593241587281,0.0005177503917366266,-0.002323772117961198,-0.0010796241865194678,0.0002316662442922277,-0.0012533738697386386,-0.006104138474911452,0.006797919217497107,0.6292
35,45,-2.248883174615912e-05,0.00013041644706390798,-0.00012030116704409011,-1.2544560547803613e-05,5.835454490703837e-05,-5.6310469228082396e-05,0.0017990064807236195,-0.002022415166720748,0.0017990064807236195,0.001003509029640141,-0.0009049251020406149,0.001003509029640141,-0.005818885713815689,0.0030429428610950692,0.3438
36,149,0.0018116259016096592,-0.002376099582761526,0.0018116259016096592,0.0010105483054535758,-0.0010631803957817292,0.0010105483054535758,0.001547192339785397,0.0038824761286377907,-0.001364664756692946,0.0008630438523713309,0.001737205181552578,-0.0004398600337931026,-0.0021243890523910524,0.005257148295640943,0.8098
37,107,0.0024880908895283937,0.004988888278603554,-0.0012535753194242716,0.0013878892049364992,0.0022322668010370562,-0.000286310895841293,0.0015565049834549427,0.004376165568828583,-0.0017256191931664944,0.0008682385651821771,0.0019581054073778293,-0.0006003404903511949,-0.006048590224236251,0.002927748905494804,0.2988
38,0,0.0012422943254932761,0.0004781731986440718,0.0008836644265102223,0.0006929678055421824,0.00021395751856316157,0.0005324996666198112,0.004831256810575724,0.0025975920725613832,0.002883062756154686,0.0026949373923172626,0.0011622867104650592,0.0018232223594684682,-0.0034547596070915454,0.0034673362970352147,0.6234
39,13,0.0,3.814697180359872e-08,-2.8610228852699038e-08,0.0,1.7068776441132436e-08,-1.2801582330849327e-08,0.0,3.099441414633475e-08,-2.324581060975106e-08,0.0,1.3868380659713389e-08,-1.0401285494785041e-08,-8.58306884765625e-08,0.0,0.0
10,127,0.015196966007351875,0.0033011543564498425,0.012721100240014493,0.008477063743193253,0.001477094066549134,0.007369243193281403,0.012396980077028275,0.028295669704675674,-0.008824772201478481,0.006915195459753338,0.012660833549982339,-0.002580429702733416,-0.024320593239739535,0.03614009886980056,0.7212
