layer,expert,panel_group,selection_supervised_routing_mass,selection_supervised_selected_rate,global_target_grad_bf16,global_control_grad_bf16,global_grad_specific_bf16,precise_target_grad_l2,precise_control_grad_l2,precise_grad_dot,precise_grad_cosine,precise_grad_specific,precise_grad_ratio
5,45,sentinel,0.1592353849809886,0.8136882129277566,0.5069783926010132,0.0538647025823593,0.4665798656642437,0.5774373462572336,0.0449339122297482,5.220730599830858e-06,0.0002012112142213,0.5437369120849225,12.85081395298791
23,176,sentinel,0.15142010010693915,0.903041825095057,1.433255672454834,0.0977285131812095,1.3599592875689268,1.3978230708929509,0.0817022930014172,0.0214718878269195,0.1880112254609604,1.3365463511418878,17.108737338027883
36,229,sentinel,0.02987055905418251,0.11026615969581749,0.4191571772098541,0.3199824392795563,0.1791703477501869,0.4121151986998783,0.3610018416850434,0.0961498785763979,0.6462799625364203,0.1413638174360957,1.1415875242494948
38,60,sentinel,0.047577716551806086,0.10076045627376426,0.8063821196556091,0.6522053480148315,0.3172281086444855,0.7775895003417405,0.7709954124674767,0.3417905122041702,0.5701089004993122,0.1993429409911329,1.008552694045418
10,66,sentinel,0.07058959496791825,0.30038022813688214,0.8452520966529846,0.0054735136218369,0.8411469614366069,1.207320292903914,0.0045638730835015,-5.696275366062764e-06,-0.0010337961643661,1.2038973880912878,264.5385335108991
9,123,sentinel,0.0,0.0,0.1158600375056266,0.0573888905346393,0.0728183696046471,0.1138035412326921,0.0550382385165153,0.0023492780164815,0.3750715407939428,0.0725248623453056,2.0677177231330788
33,234,sentinel,0.02252963105988593,0.09505703422053231,2.170523166656494,1.2498475313186646,1.2331375181674955,2.068590160314605,1.6787546095568215,1.0168416798114777,0.2928138849542871,0.8095242031469889,1.2322171141257297
9,222,sentinel,0.0,0.0,0.0013461639173328,0.0058922050520777,-0.0030729898717254,0.0012742169434391,0.004969572430662,4.066303773697655e-07,0.0642151378408168,-0.0024529623795573,0.2564037371345913
36,95,sentinel,0.0,0.0,0.0050400444306433,0.4058881402015686,-0.2993760607205331,0.0045188838840188,0.3379253468837173,-5.8685296835392364e-06,-0.0038430616850259,-0.2489251262787691,0.0133724324785866
33,1,sentinel,0.00021536359315589353,0.0038022813688212928,0.006793669424951,2.6336731910705566,-1.9684612238779664,0.0056418058742471,2.2299561454326806,-1.7523811038699932e-05,-0.0013928812766226,-1.6668253032002631,0.0025300075455743
