method,family,lr,updates,generation_accuracy,control_abs_shift,target_improvement,trainable_params,control_improvement,specific_gain,selective_target_gain,relative_target_improvement,relative_control_improvement,target_nll,control_nll,parameter_delta_l2,peak_gpu_gib,train_wall_seconds
contrastive_experts,full_expert,1e-05,64,0.828125,0.2025909423828125,0.3325648307800293,12582912,0.2025909423828125,0.1299738883972168,0.1299738883972168,0.34158644907216884,0.11659192332875781,0.6410242319107056,1.5350160598754883,0.9762366476012817,63.13094615936279,325.8587658405304
standard_lora,lora,1e-05,0,0.8125,0.0,0.0,12288000,0.0,0.0,0.0,0.0,0.0,0.9735890626907349,1.7376070022583008,,,
standard_lora,lora,1e-05,1,0.828125,0.005346417427062988,0.0016344189643859863,12288000,-0.005346417427062988,0.006980836391448975,-0.003711998462677002,0.001678756496985389,-0.003076885291158735,0.9719546437263489,1.7429534196853638,0.023603657478229952,63.03504180908203,349.8011546134949
standard_lora,lora,1e-05,2,0.796875,0.006020545959472656,0.002080261707305908,12288000,-0.006020545959472656,0.008100807666778564,-0.003940284252166748,0.0021366937931252346,-0.0034648490433383298,0.971508800983429,1.7436275482177734,0.03849043212349848,63.03504180908203,349.8011546134949
standard_lora,lora,1e-05,4,0.828125,0.005374550819396973,0.0028429031372070312,12288000,-0.005374550819396973,0.008217453956604004,-0.0025316476821899414,0.0029200237000917223,-0.0030930761745388206,0.9707461595535278,1.7429815530776978,0.06754059931898938,63.03504180908203,349.8011546134949
standard_lora,lora,1e-05,8,0.8125,0.004475116729736328,0.0005252957344055176,12288000,-0.004475116729736328,0.005000412464141846,-0.0039498209953308105,0.0005395456404920402,-0.002575448144442438,0.9730637669563293,1.742082118988037,0.1280745425698146,63.03504180908203,349.8011546134949
standard_lora,lora,1e-05,16,0.828125,0.00292205810546875,0.0067005157470703125,12288000,-0.00292205810546875,0.009622573852539062,0.0037784576416015625,0.006882283299847179,-0.001681656497511269,0.9668885469436646,1.7405290603637695,0.25434942711568753,63.03504180908203,349.8011546134949
standard_lora,lora,1e-05,32,0.796875,0.002947211265563965,0.014810442924499512,12288000,0.002947211265563965,0.011863231658935547,0.011863231658935547,0.015212211693881896,0.0016961322449400745,0.9587786197662354,1.7346597909927368,0.5195979697334823,63.03504180908203,349.8011546134949
standard_lora,lora,1e-05,64,0.828125,0.053507089614868164,0.06608808040618896,12288000,0.053507089614868164,0.0125809907913208,0.0125809907913208,0.06788087802007504,0.030793550869285785,0.9075009822845459,1.6840999126434326,1.0509063118535242,63.03504180908203,349.8011546134949
random_layer_lora,lora,1e-05,0,0.8125,0.0,0.0,12533760,0.0,0.0,0.0,0.0,0.0,0.9735890626907349,1.7376070022583008,,,
