layer,expert,target_delta_nll,control_delta_nll,causal_specificity,ci_2.5,ci_97.5,p_positive,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity
8,121,-0.02858699858188629,0.023897536098957062,-0.04651015065610409,-0.1192896767705679,0.011479215815663269,0.0624,,,
16,28,-0.027065547183156013,-0.04109218716621399,-0.027065547183156013,-0.06358696520328522,0.006112496972084042,0.0618,,,
36,82,-0.0006439352291636169,0.003707461291924119,-0.003424531198106706,-0.00834169703722,2.8835624456405636e-05,0.0508,,,
33,133,-0.010537263937294483,-0.0019536123145371675,-0.010537263937294483,-0.02819048246182501,0.002007213473320006,0.0476,,,
16,180,-0.058209128677845,-0.022457914426922798,-0.058209128677845,-0.13255972634255886,0.01018374788761135,0.0472,,,
38,62,-0.004934573080390692,-0.005638401955366135,-0.004934573080390692,-0.010988560438156127,0.0007536278963088972,0.0464,,,
27,248,-0.015675436705350876,0.005719250533729792,-0.01996487460564822,-0.05028699829988181,0.0038855438232421767,0.0448,,,
36,196,-0.0036468124017119408,0.01010226272046566,-0.011223509442061186,-0.025015745148062707,0.0012161540538072565,0.0418,,,
16,115,-0.03694208711385727,-0.0022725022863596678,-0.03694208711385727,-0.09943299430049957,0.004199044227600089,0.0416,,,
8,186,-0.03981693089008331,0.026217244565486908,-0.059479864314198494,-0.13377364203333855,0.007550716876983537,0.0396,,,
24,236,-0.030564041808247566,0.003144388785585761,-0.03292233339743689,-0.0791771733239293,0.002914692401885971,0.036,,,
16,159,-0.04680672660470009,-0.03130434826016426,-0.04680672660470009,-0.10050891375541687,0.003313077807426411,0.0354,,,
