selector,module_type,pairs,budget_k,protocol,order_seed,lr,trainable_params,updates,mean_grad_norm,parameter_delta_l2,relative_parameter_delta,peak_gpu_gib,heldout_target_nll,heldout_control_nll,target_improvement,control_improvement,control_damage,utility_score,specific_gain,target_token_acc,control_token_acc,target_seq_exact,control_seq_exact,target_ci_low,target_ci_high,specific_ci_low,specific_ci_high
routing_routed,routed,"[(29, 194)]",1,forced_lowest_slot,47,1e-05,3145728,19,8.629310507523385,0.21074176687529184,0.004744589632504925,63.62277269363403,3.9759631156921387,3.455914258956909,0.7869400978088379,0.6642324924468994,-0.6642324924468994,0.7869400978088379,0.12270760536193848,0.6379523873329163,0.6413334012031555,0.0,0.0,0.7015474318265915,0.8791162269115448,-0.018344204992055947,0.2615594161152839
causal_k4,routed,"[(36, 229), (27, 146), (33, 166), (24, 146)]",4,natural,11,1e-05,12582912,19,7.909171706751773,0.40201029222712814,0.004580136639477436,63.72824144363403,3.6987907886505127,3.254092216491699,1.0641124248504639,0.8660545349121094,-0.8660545349121094,1.0641124248504639,0.1980578899383545,0.6379523873329163,0.6446666717529297,0.0,0.0,0.9490182074010372,1.1889111150205134,0.02096625915169718,0.37770470479130747
routing_k4,routed,"[(29, 194), (34, 228), (15, 244), (25, 46)]",4,natural,11,1e-05,12582912,19,10.646276273225483,0.42921608944871303,0.004829682071898278,63.72824144363403,2.8667917251586914,2.7420361042022705,1.8961114883422852,1.378110647201538,-1.378110647201538,1.8961114883422852,0.5180008411407471,0.6272380948066711,0.6463333964347839,0.0,0.0,1.6540321505963802,2.161558473587036,0.20086278823018064,0.8472749413251877
hybrid_k4,routed,"[(36, 229), (38, 60), (27, 146), (24, 146)]",4,natural,11,1e-05,12582912,19,7.910243461006566,0.3975235142290636,0.004372911684149168,63.72824144363403,3.7051002979278564,3.3050153255462646,1.0578029155731201,0.815131425857544,-0.815131425857544,1.0578029155731201,0.24267148971557617,0.6379523873329163,0.6446666717529297,0.0,0.0,0.9435835963189602,1.182914649248123,0.07693728277087213,0.4124329342246054
gradient_k4,routed,"[(25, 168), (29, 194), (24, 153), (27, 146)]",4,natural,11,1e-05,12582912,19,15.368657162314967,0.4221189663270554,0.004871411502947346,63.72824144363403,2.0424880981445312,1.9987832307815552,2.7204151153564453,2.1213635206222534,-2.1213635206222534,2.7204151153564453,0.5990515947341919,0.6662856936454773,0.6703333258628845,0.07999999821186066,0.05999999865889549,2.4234236603751778,3.0383436333313587,0.17429104931652542,1.0319150513149795
causal_k4,routed,"[(36, 229), (27, 146), (33, 166), (24, 146)]",4,natural,23,1e-05,12582912,19,7.920608896958201,0.40028734154339385,0.0045605069192758306,63.72824144363403,3.7008230686187744,3.264491558074951,1.0620801448822021,0.8556551933288574,-0.8556551933288574,1.0620801448822021,0.20642495155334473,0.6379523873329163,0.6446666717529297,0.0,0.0,0.9448657244443894,1.1882308422327044,0.028405279725790027,0.37843400353193263
routing_k4,routed,"[(29, 194), (34, 228), (15, 244), (25, 46)]",4,natural,23,1e-05,12582912,19,10.646732455805727,0.427431463082787,0.004809600862977102,63.72824144363403,2.8911187648773193,2.7905232906341553,1.8717844486236572,1.3296234607696533,-1.3296234607696533,1.8717844486236572,0.5421609878540039,0.6322380900382996,0.6396666765213013,0.0,0.0,1.6390067057609556,2.123936247229576,0.23857514664530763,0.8510522521287203
hybrid_k4,routed,"[(36, 229), (38, 60), (27, 146), (24, 146)]",4,natural,23,1e-05,12582912,19,7.924367628599468,0.39661851032723344,0.004362956292845615,63.72824144363403,3.7078380584716797,3.313389301300049,1.0550651550292969,0.8067574501037598,-0.8067574501037598,1.0550651550292969,0.2483077049255371,0.6379523873329163,0.6396666765213013,0.0,0.0,0.9391716095209123,1.1771705219149589,0.07965271292626856,0.4120181567370892
gradient_k4,routed,"[(25, 168), (29, 194), (24, 153), (27, 146)]",4,natural,23,1e-05,12582912,19,15.51508261028089,0.42106505302391595,0.00485924894737043,63.72824144363403,2.0441925525665283,1.9692212343215942,2.7187106609344482,2.1509255170822144,-2.1509255170822144,2.7187106609344482,0.5677851438522339,0.6662856936454773,0.6653333306312561,0.07999999821186066,0.05999999865889549,2.4204118843264877,3.0344114279486236,0.12467241554334772,0.9985995610766115
causal_k4,routed,"[(36, 229), (27, 146), (33, 166), (24, 146)]",4,natural,47,1e-05,12582912,19,7.836484005576686,0.40157410701348917,0.004575167145120666,63.72824144363403,3.6875643730163574,3.251455783843994,1.0753388404846191,0.8686909675598145,-0.8686909675598145,1.0753388404846191,0.2066478729248047,0.6329523921012878,0.6396666765213013,0.0,0.0,0.9530356201529503,1.2057761534452438,0.02433337119221675,0.38559591820836053
routing_k4,routed,"[(29, 194), (34, 228), (15, 244), (25, 46)]",4,natural,47,1e-05,12582912,19,10.568968471727873,0.4281160348019659,0.0048173038914523245,63.72824144363403,2.824070930480957,2.7826004028320312,1.9388322830200195,1.3375463485717773,-1.3375463485717773,1.9388322830200195,0.6012859344482422,0.6322380900382996,0.6363333463668823,0.0,0.0,1.695387472718954,2.203201019227505,0.27547920951247223,0.9207767786383628
hybrid_k4,routed,"[(36, 229), (38, 60), (27, 146), (24, 146)]",4,natural,47,1e-05,12582912,19,7.875647871117843,0.39734226582797877,0.004370917881965228,63.72824144363403,3.702846050262451,3.304318904876709,1.0600571632385254,0.8158278465270996,-0.8158278465270996,1.0600571632385254,0.24422931671142578,0.6379523873329163,0.6446666717529297,0.0,0.0,0.9406475336849689,1.1902122882306574,0.0768391775786877,0.41433959650993346
gradient_k4,routed,"[(25, 168), (29, 194), (24, 153), (27, 146)]",4,natural,47,1e-05,12582912,19,15.175622940063477,0.4226591793653331,0.004877645764420139,63.72824144363403,2.0421218872070312,1.994511604309082,2.7207813262939453,2.1256351470947266,-2.1256351470947266,2.7207813262939453,0.5951461791992188,0.6662856936454773,0.6653333306312561,0.07999999821186066,0.05999999865889549,2.4248704497516154,3.0305147432684896,0.1603421332612636,1.0206439868882295
random_global_0,routed,"[(25, 243)]",1,natural,11,1e-05,3145728,19,0.13082163757644594,0.135690262351807,0.003035344388583212,63.62277269363403,4.778017997741699,4.1094441413879395,-0.015114784240722656,0.01070261001586914,-0.01070261001586914,-0.015114784240722656,-0.025817394256591797,0.6212856769561768,0.6396666765213013,0.0,0.0,-0.03189543396234512,0.0021427388787269535,-0.05194100016355515,-0.0007955847978592099
random_global_1,routed,"[(15, 63)]",1,natural,11,1e-05,3145728,19,0.17496307159921057,0.12965786068098145,0.003011157395157123,63.62277269363403,4.712920188903809,4.087684154510498,0.04998302459716797,0.03246259689331055,-0.03246259689331055,0.04998302459716797,0.017520427703857422,0.6279523968696594,0.6413334012031555,0.0,0.0,0.01492933052778244,0.08438961541652677,-0.030327600836753846,0.06532020002603531
random_global_2,routed,"[(7, 249)]",1,natural,11,1e-05,3145728,19,0.0,0.0,0.0,63.599334716796875,4.762903213500977,4.120146751403809,0.0,0.0,-0.0,0.0,0.0,0.6212856769561768,0.6363333463668823,0.0,0.0,0.0,0.0,0.0,0.0
random_global_3,routed,"[(34, 52)]",1,natural,11,1e-05,3145728,19,0.004694356717855523,0.13242962991743493,0.00302036102622636,63.62277269363403,4.758005142211914,4.117222785949707,0.0048980712890625,0.0029239654541015625,-0.0029239654541015625,0.0048980712890625,0.0019741058349609375,0.6212856769561768,0.6363333463668823,0.0,0.0,-0.0028197948932647703,0.013331148922443385,-0.012231561183929443,0.014277107357978823
random_global_4,routed,"[(2, 7)]",1,natural,11,1e-05,3145728,19,0.08476344407781174,0.1331183054409326,0.0030279292908575936,63.62277269363403,4.740299701690674,4.0774312019348145,0.022603511810302734,0.04271554946899414,-0.04271554946899414,0.022603511810302734,-0.020112037658691406,0.6200953125953674,0.6396666765213013,0.0,0.0,-0.05320643961429595,0.10135069352388376,-0.10938541334867477,0.07344692882895466
random_same_layer_0,routed,"[(36, 231)]",1,natural,11,1e-05,3145728,19,0.034547077687947375,0.22651143156186676,0.005007246496277029,63.62277269363403,4.757914066314697,4.115054130554199,0.004989147186279297,0.005092620849609375,-0.005092620849609375,0.004989147186279297,-0.00010347366333007812,0.6212856769561768,0.6363333463668823,0.0,0.0,-0.003387247443199158,0.013998975455760955,-0.011180639803409576,0.011554674625396725
random_same_layer_1,routed,"[(36, 209)]",1,natural,11,1e-05,3145728,19,0.019206743515831858,0.15056535707593896,0.0034131202042421596,63.62277269363403,4.7604899406433105,4.1237945556640625,0.0024132728576660156,-0.0036478042602539062,0.0036478042602539062,-0.00032258033752441406,0.006061077117919922,0.6212856769561768,0.6363333463668823,0.0,0.0,-0.00679343205690384,0.01232983249425888,-0.0048105805516242975,0.017910747438669206
random_same_layer_2,routed,"[(36, 200)]",1,natural,11,1e-05,3145728,19,0.016010830865094538,0.15469955459980939,0.003585374797132341,63.62277269363403,4.759052753448486,4.114627838134766,0.0038504600524902344,0.005518913269042969,-0.005518913269042969,0.0038504600524902344,-0.0016684532165527344,0.6212856769561768,0.6330000162124634,0.0,0.0,-0.0039934772253036495,0.011617842137813566,-0.012994352340698241,0.009283512413501737
random_same_layer_3,routed,"[(36, 89)]",1,natural,11,1e-05,3145728,19,0.032473959903397465,0.15898943571991803,0.0036571196391308627,63.62277269363403,4.7602620124816895,4.120708465576172,0.0026412010192871094,-0.0005617141723632812,0.0005617141723632812,0.0022199153900146484,0.0032029151916503906,0.6212856769561768,0.6363333463668823,0.0,0.0,-0.0006952777504920959,0.006508149683475493,-0.0024645977020263674,0.009231662869453431
random_same_layer_4,routed,"[(36, 178)]",1,natural,11,1e-05,3145728,19,0.1269505754799435,0.12395350669899205,0.0028149016675019702,63.62277269363403,4.755477428436279,4.117223739624023,0.007425785064697266,0.0029230117797851562,-0.0029230117797851562,0.007425785064697266,0.004502773284912109,0.6212856769561768,0.6396666765213013,0.0,0.0,0.0022207646369934086,0.013749230802059174,-0.0021106839478015893,0.011912903040647502
causal_routed_lr_sensitivity,routed,"[(36, 229)]",1,natural_lr_sensitivity,11,3e-06,3145728,19,1.0658787457566512,0.055364359298103544,0.001237939054251866,63.62277269363403,4.749301433563232,4.12047004699707,0.01360177993774414,-0.00032329559326171875,0.00032329559326171875,0.013359308242797852,0.01392507553100586,0.6212856769561768,0.6363333463668823,0.0,0.0,0.004147221982479096,0.023795622467994687,0.00016815137863159248,0.028380740284919728
routing_routed_lr_sensitivity,routed,"[(29, 194)]",1,natural_lr_sensitivity,11,3e-06,3145728,19,9.00712705913343,0.06468871977883853,0.0014563863336322733,63.62277269363403,4.6326704025268555,4.005523204803467,0.1302328109741211,0.1146235466003418,-0.1146235466003418,0.1302328109741211,0.015609264373779297,0.6212856769561768,0.6363333463668823,0.0,0.0,0.10764609348773957,0.15293333792686462,-0.020718589246273046,0.049250831484794616
causal_routed_lr_sensitivity,routed,"[(36, 229)]",1,natural_lr_sensitivity,11,3e-05,3145728,19,1.0187298122205233,0.5304580353116862,0.011860964831512926,63.62277269363403,4.676049709320068,4.047072887420654,0.0868535041809082,0.0730738639831543,-0.0730738639831543,0.0868535041809082,0.013779640197753906,0.6212856769561768,0.6363333463668823,0.0,0.0,0.07232933390140533,0.10199073237180709,-0.010829839795827873,0.038516382843255995
routing_routed_lr_sensitivity,routed,"[(29, 194)]",1,natural_lr_sensitivity,11,3e-05,3145728,19,8.165825768520957,0.6044275745377249,0.013607937554442201,63.62277269363403,2.6193206310272217,2.4774837493896484,2.143582582473755,1.6426630020141602,-1.6426630020141602,2.143582582473755,0.5009195804595947,0.6379523873329163,0.6396666765213013,0.0,0.0,1.9114595289677383,2.3821583496704695,0.1525127386972307,0.8458613501936199
