layer,expert,panel_group,global_target_grad_bf16,global_control_grad_bf16,global_grad_specific_bf16,global_grad_ratio_bf16,scan_peak_gpu_gib,selection_supervised_positions,selection_supervised_selected_hits,selection_supervised_selected_rate,selection_supervised_routing_mass,routing_rank,global_target_grad_rank,global_grad_specific_rank
16,235,population_random,0.0,0.0185066238045692,-0.0138799678534269,0.0,64.8782606124878,681,0,0.0,0.0,7919,8557,6693
17,215,population_random,0.0498828589916229,0.0992568135261535,-0.0245597511529922,0.502563574418763,64.8782606124878,681,3,0.0044052863436123,0.0004911492749632,5628,2708,7440
18,116,population_random,0.0,0.0,0.0,0.0,64.8782606124878,681,0,0.0,0.0,8105,8557,3615
19,77,population_random,0.0022804250475019,0.0796712264418602,-0.0574729947838932,0.0286229439324299,64.8782606124878,681,9,0.013215859030837,0.0014024642070484,4184,7546,8447
20,193,population_random,0.0,0.0,0.0,0.0,64.8782606124878,681,0,0.0,0.0,8350,8557,3615
21,113,population_random,0.0287727285176515,0.0269524119794368,0.0085584195330739,1.067538168329274,64.8782606124878,681,23,0.0337738619676945,0.0037040542400881,2562,3809,2285
22,194,population_random,0.0376200042665004,0.0586320869624614,-0.0063540609553456,0.6416282655936267,64.8782606124878,681,0,0.0,0.0,8557,3270,5781
23,105,population_random,0.0088051808997988,0.4207934439182281,-0.3067899020388722,0.0209251855679791,64.8782606124878,681,121,0.1776798825256975,0.0219023896383994,356,5969,9746
24,222,population_random,2.0507177396211773e-05,0.0,2.0507177396211773e-05,20507177.396211773,64.8782606124878,681,2,0.0029368575624082,0.0003126147209985,5987,8349,3540
25,150,population_random,0.3882571458816528,0.2942315936088562,0.1675834506750106,1.319563073150031,64.8782606124878,681,58,0.0851688693098384,0.0074127690207415,1456,327,295
26,183,population_random,0.1663772165775299,0.1776672899723053,0.0331267490983009,0.9364538436001824,64.8782606124878,681,0,0.0,0.0,8919,906,1252
27,228,population_random,0.0,0.0,0.0,0.0,64.8782606124878,681,0,0.0,0.0,9020,8557,3615
28,99,population_random,0.001659526489675,0.031282115727663,-0.0218020603060722,0.0530503276718735,64.8782606124878,681,0,0.0,0.0,9070,7735,7274
29,201,population_random,0.0,0.0134489648044109,-0.0100867236033082,0.0,64.8782606124878,681,0,0.0,0.0,9185,8557,6292
30,50,population_random,0.0249412581324577,0.3104715347290039,-0.2079123929142952,0.0803334777668022,64.8782606124878,681,1,0.0014684287812041,0.0001806855726872,6297,4106,9555
31,66,population_random,0.1187570840120315,0.7589572072029114,-0.450460821390152,0.1564740184094789,64.8782606124878,681,21,0.0308370044052863,0.0027127931121512,3094,1265,9861
32,233,population_random,0.0102978870272636,0.0189570877701044,-0.0039199288003146,0.5432209393976818,64.8782606124878,681,4,0.0058737151248164,0.0004531479441997,5708,5706,5358
33,132,population_random,0.0031729573383927,0.006472919601947,-0.0016817323630675,0.4901895177174936,64.8782606124878,681,2,0.0029368575624082,0.0003319738895007,5936,7277,4885
34,23,population_random,0.0129847433418035,0.0065160342492163,0.0080977176548913,1.9927371224871149,64.8782606124878,681,23,0.0337738619676945,0.0024399722375183,3287,5291,2324
35,88,population_random,0.0123463096097111,0.7362257242202759,-0.5398229835554957,0.0167697340686786,64.8782606124878,681,2,0.0029368575624082,0.0002817834526431,6061,5378,9895
36,172,population_random,0.0144081935286521,0.0494166947901248,-0.0226543275639414,0.2915653017578963,64.8782606124878,681,0,0.0,0.0,9736,5109,7335
37,150,population_random,0.0002566192415542,0.0510682724416255,-0.0380445850896649,0.0050250229600501,64.8782606124878,681,0,0.0,0.0,9793,8210,7978
38,35,population_random,0.0048479461111128,0.0093442015349864,-0.002160205040127,0.5188186590841782,64.8782606124878,681,33,0.0484581497797356,0.0052664108388399,1990,6815,5001
39,128,population_random,0.0094949696213006,3.21093779120929e-07,0.0094947288009663,29570.61353440678,64.8782606124878,681,124,0.1820851688693098,0.0237870405424008,308,5845,2199
