layer,expert,panel_group,v6_anchor,global_target_grad_bf16,global_control_grad_bf16,global_grad_specific_bf16,global_grad_ratio_bf16,scan_peak_gpu_gib,selection_supervised_positions,selection_supervised_selected_hits,selection_supervised_selected_rate,selection_supervised_routing_mass,routing_rank,global_target_grad_rank,global_grad_specific_rank,global_grad_ratio_rank,target_delta_nll,control_delta_nll,causal_specificity,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity,ci_2.5,ci_97.5,p_positive,precise_target_grad_l2,precise_control_grad_l2,precise_grad_dot,precise_grad_cosine,precise_grad_specific,precise_grad_ratio,atlas_order_seed,atlas_lr,atlas_updates,trainable_params,mean_train_grad_norm,parameter_delta_l2,relative_parameter_delta,peak_gpu_gib,validation_target_nll,validation_control_nll,validation_target_improvement,validation_control_improvement,validation_utility_score,validation_specific_gain,validation_target_token_acc,validation_control_token_acc,validation_target_seq_exact,validation_control_seq_exact
21,187,population_random,False,0.0301198475062847,0.0,0.0301198475062847,30119847506.284718,64.86089658737183,161,0,0.0,0.0,7682,5215,2014,707,0.0023267127107828,-0.0084615936502814,0.0023267127107828,-0.0097930785268545,-0.0249448921531438,-0.0097930785268545,-0.0297576884701848,0.0309747818708419,0.5206,0.0201693506259917,0.0,0.0,0.0,0.0201693506259917,20169350625.9917,101,1e-05,7,3145728,0.1939244131956781,0.0614568931360668,0.0015096851268805,62.97764205932617,4.786514759063721,4.0224480628967285,-0.0239171981811523,0.007486343383789,-0.0239171981811523,-0.0314035415649414,0.6252380609512329,0.6320000290870667,0.0,0.0
22,2,population_random,False,0.0,0.0,0.0,0.0,64.86089658737183,161,1,0.006211180124223602,0.0004609860248447205,4238,7263,3722,7263,-0.0091569162905216,-0.0225747395306825,-0.0091569162905216,-0.0145911695435643,-0.0305266957730054,-0.0145911695435643,-0.034192880179733,0.0139992282390594,0.202,0.0,0.0,0.0,0.0,0.0,0.0,101,1e-05,7,3145728,0.1089644166640937,0.0520717031065326,0.0011898539471591,62.97764158248901,4.762249946594238,4.027747631072998,0.00034761428833,0.0021867752075195,0.00034761428833,-0.0018391609191894,0.6352380514144897,0.6320000290870667,0.0,0.0
23,139,population_random,False,0.0691203474998474,0.120388887822628,-0.0211713183671236,0.5741422547329287,64.86089658737183,161,0,0.0,0.0,7918,3809,7561,5531,-0.0317609272897243,-0.0129987467080354,-0.0317609272897243,-0.0152127649635076,-0.0292352754622697,-0.0152127649635076,-0.0653690470159053,-0.0059104774417355,0.0092,0.0649796405615627,0.1080557156474519,0.0058500507147982,0.833171838776563,-0.0160621461740261,0.6013531091031529,101,1e-05,7,3145728,0.1002697457692452,0.0703986868200394,0.0016327475953538,62.97764205932617,4.717022895812988,4.004532814025879,0.04557466506958,0.0254015922546386,0.04557466506958,0.0201730728149414,0.6309524178504944,0.6320000290870667,0.0,0.0
24,97,population_random,False,0.6274963021278381,0.637234628200531,0.1495703309774398,0.9847178328943338,64.86089658737183,161,0,0.0,0.0,8041,628,706,2737,-0.012212979607284,-0.031172938644886,-0.012212979607284,0.0105501841753721,-0.0149651924148201,0.0105501841753721,-0.0558961025476455,0.0295876659750938,0.2746,0.6143875955316973,0.4837257279115109,0.0888566225767135,0.2989841572181437,0.2515932995980641,1.27011560493805,101,1e-05,7,3145728,0.8368807818208422,0.0701370733056153,0.001688541812673,62.97764205932617,4.733944416046143,4.008937835693359,0.0286531448364257,0.0209965705871582,0.0286531448364257,0.0076565742492675,0.640952467918396,0.6320000290870667,0.0,0.0
25,185,population_random,False,0.1401803642511367,0.1703774780035019,0.0123972557485103,0.8227634655293629,64.86089658737183,161,0,0.0,0.0,8235,2527,2646,3210,-0.0104467840865254,-0.006586751434952,-0.0104467840865254,-0.0311563890427351,-0.0224627628922462,-0.0311563890427351,-0.0478296094387769,0.020687461733818,0.2476,0.0942198087939589,0.1326329774543773,0.0003452418022789,0.0276267398041444,-0.005254924296824,0.7103799567921034,101,1e-05,7,3145728,0.0899976381499852,0.0615170462255582,0.0014147745025906,62.97764205932617,4.786121845245361,4.025298595428467,-0.0235242843627929,0.0046358108520507,-0.0235242843627929,-0.0281600952148437,0.6352380514144897,0.6320000290870667,0.0,0.0
26,229,population_random,False,0.1365073472261428,0.4395547807216644,-0.1931587383151054,0.31055821302117,64.86089658737183,161,1,0.006211180124223602,0.000597462150621118,3801,2564,9439,6471,-0.0024337815120816,-0.0321146436035633,-0.0024337815120816,-0.0257673542946577,-0.0089008416980504,-0.0257673542946577,-0.0271427431106567,0.0224258291721343,0.4228,0.1019177048274645,0.5404227551014603,0.0034076482988893,0.0618687730111896,-0.3033993614986306,0.1885888480179589,101,1e-05,7,3145728,0.143406125583819,0.0660639189101539,0.0015870224489533,62.97764205932617,4.755620956420898,4.030325412750244,0.0069766044616699,-0.0003910064697265,0.006683349609375,0.0073676109313964,0.6309524178504944,0.6320000290870667,0.0,0.0
27,180,population_random,False,0.2762659788131714,0.1224041208624839,0.1844628881663084,2.256999003499955,64.86089658737183,161,9,0.055900621118012424,0.005771423718944099,1350,1463,572,1816,0.0012397527461871,-0.0101414592936635,0.0012397527461871,-0.0135720940306782,-0.0034899543970823,-0.0135720940306782,-0.022050042271614,0.0217751225233077,0.5102,0.1848977580216573,0.0819180650056096,0.000289937321213,0.019142241528426,0.1234592092674501,2.257106024254097,101,1e-05,7,3145728,0.2063443642109632,0.0509722560766296,0.0011838009494932,62.97764158248901,4.776154041290283,4.024090766906738,-0.0135564804077148,0.0058436393737792,-0.0135564804077148,-0.0194001197814941,0.6309524178504944,0.6320000290870667,0.0,0.0
28,7,population_random,False,0.1383480876684188,0.2421070486307144,-0.0432321988046169,0.5714335392145877,64.86089658737183,161,1,0.006211180124223602,0.0004154939829192547,4371,2545,8235,5551,-0.0005288529209792,-0.001853572553955,-0.0005288529209792,-0.0092577692121267,-0.0103077236562967,-0.0092577692121267,-0.0275277448445558,0.0181563146114349,0.3728,0.133745879144334,0.1993944991675302,0.0222201235592365,0.8332069556704932,-0.0157999952313136,0.6707601247880497,101,1e-05,7,3145728,0.1366140927587236,0.0865256532574796,0.0019576055780158,62.97764205932617,4.768281936645508,4.013424396514893,-0.0056843757629394,0.016510009765625,-0.0056843757629394,-0.0221943855285644,0.6252380609512329,0.6320000290870667,0.0,0.0
29,217,population_random,False,0.0338389463722705,0.0,0.0338389463722705,33838946372.270584,64.86089658737183,161,41,0.2546583850931677,0.05067510190217391,131,5019,1909,662,-0.0035392141435295,-0.0065927361138165,-0.0035392141435295,0.0115836886689066,0.0036683762446045,0.0088324064854532,-0.038308807849884,0.028919223666191,0.3832,0.027201907820691,0.0,0.0,0.0,0.027201907820691,27201907820.69106,101,1e-05,7,3145728,1.4559281979288374,0.0579252624188148,0.0012955633956943,62.97764205932617,4.767502307891846,4.017448902130127,-0.0049047470092773,0.0124855041503906,-0.0049047470092773,-0.0173902511596679,0.6309524178504944,0.6320000290870667,0.0,0.0
30,246,population_random,False,0.0,0.0,0.0,0.0,64.86089658737183,161,0,0.0,0.0,8938,7263,3722,7263,-0.001403622678481,-0.0008533297223038,-0.001403622678481,0.0092205740511417,0.0048464001156389,0.0055857739644125,-0.0115406124368309,0.0062508055772632,0.3148,0.0,0.0,0.0,0.0,0.0,0.0,101,1e-05,7,3145728,0.0,0.0,0.0,62.95420408248901,4.762597560882568,4.029934406280518,0.0,0.0,0.0,0.0,0.6309524178504944,0.6320000290870667,0.0,0.0
