layer,expert,panel_group,v6_anchor,global_target_grad_bf16,global_control_grad_bf16,global_grad_specific_bf16,global_grad_ratio_bf16,scan_peak_gpu_gib,selection_supervised_positions,selection_supervised_selected_hits,selection_supervised_selected_rate,selection_supervised_routing_mass,routing_rank,global_target_grad_rank,global_grad_specific_rank,global_grad_ratio_rank
4,22,population_random,False,0.2112448662519455,0.3182801604270935,-0.0274652540683746,0.6637073010388607,64.86089658737183,161,3,0.018633540372670808,0.001904600155279503,2399,1838,7813,4756
28,234,population_random,False,0.1164231896400451,0.0890404134988784,0.0496428795158863,1.3075319965826984,64.86089658737183,161,6,0.037267080745341616,0.003693953804347826,1726,2841,1576,2299
23,119,population_random,False,0.4413332343101501,0.2368925064802169,0.2636638544499874,1.8630105310872005,64.86089658737183,161,4,0.024844720496894408,0.001567959045031056,2604,925,399,1962
38,210,population_random,False,5.452661037445068,0.0,5.452661037445068,5452661037445.068,64.86089658737183,161,64,0.39751552795031053,0.06917368255046584,60,37,6,5
34,174,population_random,False,1.271496057510376,0.0874667987227439,1.205895958468318,14.536899441424415,64.86089658737183,161,58,0.36024844720496896,0.07977636112189442,38,309,46,1313
4,248,population_random,False,0.1101038753986358,0.2473073303699493,-0.0753766223788261,0.4452107231657276,64.86089658737183,161,1,0.006211180124223602,0.0005004124611801242,4093,2962,8787,6122
36,111,population_random,False,0.0028144214302301,0.0,0.0028144214302301,2814421430.2301407,64.86089658737183,161,1,0.006211180124223602,0.0004397564052795031,4308,7000,3272,1117
36,229,sentinel,True,1.182648777961731,1.400318264961243,0.1324100792407989,0.8445571321556811,64.86089658737183,161,32,0.19875776397515527,0.052673718944099376,111,326,809,3119
29,194,sentinel,True,10.215373992919922,15.275259971618652,-1.2410709857940674,0.6687528730705311,64.86089658737183,161,56,0.34782608695652173,0.07231111704192547,50,3,9939,4696
25,168,sentinel,True,10.285967826843262,13.34119701385498,0.2800700664520263,0.7709928738898316,64.86089658737183,161,50,0.3105590062111801,0.06997282608695653,58,2,369,3563
30,229,sentinel,False,12.321661949157717,15.951765060424805,0.3578381538391113,0.772432511542319,64.86089658737183,161,23,0.14285714285714285,0.06530837538819875,74,1,263,3556
30,66,sentinel,False,9.091022491455078,12.218827247619627,-0.0730979442596435,0.7440175973701054,64.86089658737183,161,50,0.3105590062111801,0.06472001164596274,75,4,8765,3769
36,95,sentinel,False,9.05935287475586,0.1663408130407333,8.93459726497531,54.46259825893092,64.86089658737183,161,105,0.6521739130434783,0.15619389314829193,2,5,1,1240
24,153,sentinel,False,8.894142150878906,13.236096382141112,-1.0329301357269287,0.6719611201138359,64.86089658737183,161,52,0.32298136645962733,0.05153945069875776,123,6,9921,4657
30,195,sentinel,False,8.864374160766602,10.368772506713867,1.0877947807312012,0.8549106613175272,64.86089658737183,161,50,0.3105590062111801,0.058302600931677016,90,7,53,3073
26,134,sentinel,False,8.741240501403809,11.070108413696287,0.4386591911315918,0.7896255551199552,64.86089658737183,161,50,0.3105590062111801,0.06641838121118013,71,8,207,3407
21,82,sentinel,False,8.318957328796387,10.618321418762209,0.3552162647247314,0.7834531467559734,64.86089658737183,161,77,0.4782608695652174,0.09057768827639752,26,9,271,3455
29,250,sentinel,False,8.289737701416016,11.31700038909912,-0.1980125904083252,0.7325030853052025,64.86089658737183,161,50,0.3105590062111801,0.056337344720496896,99,10,9452,3892
23,28,sentinel,False,8.260056495666504,10.926676750183104,0.0650489330291748,0.7559532220560409,64.86089658737183,161,78,0.484472049689441,0.11120681288819875,12,11,1370,3685
35,124,sentinel,False,7.990274429321289,9.831873893737791,0.6163690090179443,0.8126908985691644,64.86089658737183,161,50,0.3105590062111801,0.0791318905279503,39,12,128,3263
33,1,sentinel,False,6.961568355560303,0.0,6.961568355560303,6961568355560.303,64.86089658737183,161,117,0.7267080745341615,0.19488790760869565,1,21,2,1
16,59,sentinel,False,6.079427242279053,0.0,6.079427242279053,6079427242279.053,64.86089658737183,161,74,0.45962732919254656,0.1232121627523292,6,27,3,2
31,70,sentinel,False,5.734459400177002,0.0,5.734459400177002,5734459400177.002,64.86089658737183,161,63,0.391304347826087,0.0913677334045031,25,34,4,3
35,22,sentinel,False,5.649241924285889,0.0,5.649241924285889,5649241924285.889,64.86089658737183,161,84,0.5217391304347826,0.11637167604813664,10,35,5,4
29,136,sentinel,False,4.488032341003418,0.0,4.488032341003418,4488032341003.418,64.86089658737183,161,54,0.33540372670807456,0.0773637664984472,42,55,7,6
34,146,sentinel,False,4.030404090881348,0.0,4.030404090881348,4030404090881.348,64.86089658737183,161,26,0.16149068322981366,0.03580678619953416,304,72,8,7
23,216,sentinel,False,3.8331949710845943,0.1079281866550445,3.7522488310933113,35.51616208748667,64.86089658737183,161,102,0.6335403726708074,0.08728103163819875,28,77,9,1251
38,168,sentinel,False,3.5527656078338623,0.0115340612828731,3.5441150618717074,308.02381922500405,64.86089658737183,161,98,0.6086956521739131,0.09883601028726709,18,91,10,1223
34,152,sentinel,False,3.1224467754364014,0.0,3.1224467754364014,3122446775436.4014,64.86089658737183,161,25,0.15527950310559005,0.024086519798136644,503,113,11,8
28,93,sentinel,False,5.0080437660217285,2.60546350479126,3.053946137428284,1.9221316118266,64.86089658737183,161,110,0.6832298136645962,0.10490919788431677,14,46,12,1942
3,29,sentinel,False,0.5585153698921204,0.8203412890434265,-0.0567405968904495,0.6808329378894317,64.86089658737183,161,127,0.7888198757763976,0.14983107288431677,3,722,8514,4550
