layer,expert,target_delta_nll,control_delta_nll,causal_specificity,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity,ci_2.5,ci_97.5,p_positive
27,180,0.0012397527461871505,-0.010141459293663502,0.0012397527461871505,-0.013572094030678272,-0.003489954397082329,-0.013572094030678272,-0.022050042271614074,0.02177512252330772,0.5102
28,7,-0.0005288529209792614,-0.0018535725539550185,-0.0005288529209792614,-0.009257769212126732,-0.01030772365629673,-0.009257769212126732,-0.027527744844555852,0.018156314611434934,0.3728
29,217,-0.0035392141435295343,-0.0065927361138165,-0.0035392141435295343,0.011583688668906689,0.0036683762446045876,0.008832406485453248,-0.03830880784988404,0.028919223666191072,0.3832
30,246,-0.0014036226784810424,-0.0008533297223038971,-0.0014036226784810424,0.009220574051141739,0.004846400115638971,0.00558577396441251,-0.011540612436830997,0.006250805577263233,0.3148
31,223,-0.0027990578673779964,-0.001850766595453024,-0.0027990578673779964,-0.0033879613038152456,-0.0013775009429082274,-0.0033879613038152456,-0.01647813618183136,0.007834690690040572,0.2644
32,190,-0.0009049510699696839,0.0006969435489736497,-0.0014276587316999212,-0.002533569233492017,0.001780204358510673,-0.0038687225023750216,-0.017105832928791642,0.010508460640907288,0.3348
33,94,-0.005524120293557644,-0.0036316323094069958,-0.005524120293557644,-0.011717651039361954,-0.011452491395175457,-0.011717651039361954,-0.021180010869167744,0.007615711331367489,0.1862
34,185,-0.010303926654160023,0.005968076642602682,-0.014779984136112034,0.0061815716326236725,0.003955352120101452,0.0032150575425475836,-0.06954785589780658,0.035052846953272786,0.2896
35,137,-0.0037146068643778563,-0.003735761856660247,-0.0037146068643778563,-0.0037397504784166813,-0.003735761856660247,-0.0037397504784166813,-0.014432421945035457,0.005752197265624998,0.1938
36,47,-0.004985055886209011,0.00021806388394907117,-0.0051486037991708145,-0.0021927475463598967,0.00033638582681305707,-0.0024450369164696895,-0.019491714041680094,0.005037470815703262,0.1366
37,54,-0.0039003086276352406,-0.0026808970142155886,-0.0039003086276352406,-0.003640272654592991,-0.010780397802591324,-0.003640272654592991,-0.014789234638214112,0.0034743600822985153,0.1498
38,150,4.0531158873591266e-08,5.7220457705398076e-08,-2.3841844054572903e-09,-3.409385556096822e-07,-1.1377334885764867e-05,-3.409385556096822e-07,-2.1696090698242188e-07,1.2159347534179688e-07,0.3514
39,218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
