layer,expert,target_delta_nll,control_delta_nll,causal_specificity,target_relative_delta,control_relative_delta,causal_relative_specificity,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity,renorm_target_relative_delta,renorm_control_relative_delta,renorm_causal_relative_specificity,ci_2.5,ci_97.5,p_positive
37,176,0.00034622609382495284,-0.0009153884602710605,0.00034622609382495284,0.00042937884140556334,-0.00031939823235077825,0.00042937884140556334,-0.00045116423279978335,-0.002303537679836154,-0.00045116423279978335,-0.0005595198600517476,-0.0008037526088926389,-0.0005595198600517476,-0.0029797990992665286,0.0015161318778991698,0.516
38,168,9.803175998968072e-06,0.03604131564497948,-0.02702118355773564,1.2157594206807213e-05,0.012575570927772188,-0.009419520601622334,0.00011337935575284064,0.0293092243373394,-0.02186853889725171,0.00014060955335468508,0.010226603077502842,-0.007529342754772446,-0.11212840195000172,0.0007198936790227882,0.1762
39,5,-1.8715859084750264e-07,-2.047777161351405e-05,-1.8715859084750264e-07,-2.3210826777784244e-07,-7.145123998944198e-06,-2.3210826777784244e-07,-2.0146370616203058e-07,-8.336305654665921e-06,-2.0146370616203058e-07,-2.4984902721069573e-07,-2.908711881344512e-06,-2.4984902721069573e-07,-3.528892993927002e-07,-5.6028366088867184e-08,0.0
11,248,-0.009719726629555225,0.012127552181482315,-0.01881539076566696,-0.012054102892335031,0.004231557308861276,-0.015227770873980988,0.0041159940883517265,0.03134249523282051,-0.019390877336263657,0.005104527949826177,0.0109360539369933,-0.003097512502918797,-0.05841563912853598,-0.0038438387662172334,0.0024
15,7,0.0,0.0,0.0,0.0,0.0,0.0,-0.003008294617757201,0.001882252749055624,-0.004419984179548919,-0.0037307934919320203,0.0006567574608792188,-0.004223361587591434,0.0,0.0,0.0
31,7,-0.0007308184867724776,0.0005929046892561018,-0.001175497003714554,-0.0009063383746194053,0.00020687688114924484,-0.0010614960354813389,-0.0005529171321541071,-0.004084274172782898,-0.0005529171321541071,-0.0006857106435127589,-0.001425088918901719,-0.0006857106435127589,-0.008081637986004352,0.0015937866866588591,0.168
21,1,0.0022545838728547096,-0.010924282483756542,0.0022545838728547096,0.0027960648502347325,-0.0038117112749916082,0.0027960648502347325,-0.0004480266652535647,-0.012476670555770397,-0.0004480266652535647,-0.0005556287462915346,-0.004353372031755829,-0.0005556287462915346,-0.005609871216118335,0.006465928554534908,0.7848
16,143,5.82015527470503e-05,-0.00841349083930254,5.82015527470503e-05,7.217975690523229e-05,-0.0029356434110792266,7.217975690523229e-05,-0.0037015730049461126,0.0036806147545576096,-0.00646203407086432,-0.004590575801734455,0.0012842436818810087,-0.005553758563145212,-0.009805859878659248,0.004877556785941123,0.4372
16,103,-0.007039210759103298,0.03450481966137886,-0.032917825505137444,-0.008729810415969048,0.0120394552539622,-0.017759401856440697,-0.0035708958748728037,0.010087371803820133,-0.011136424727737904,-0.004428514086254829,0.003519695586124367,-0.007068285775848105,-0.07135130355507134,-0.00450811886787416,0.0032
6,104,-0.004732541274279356,-0.002535842591896653,-0.004732541274279356,-0.005869150608508024,-0.0008848086648719281,-0.005869150608508024,-0.008535324595868587,0.034646835178136826,-0.03452045097947121,-0.010585244299487661,0.012089007446269107,-0.019651999884189492,-0.03386257610842586,0.0037979345172643583,0.1134
6,178,0.0,0.0,0.0,0.0,0.0,0.0,0.0014415759360417724,0.040905408561229706,-0.029237480484880507,0.0017877976739924912,0.014272754961510417,-0.008916768547140321,0.0,0.0,0.0
7,71,0.001477690297178924,0.024375906214118004,-0.01680423936340958,0.0018325855822979014,0.00850526491718303,-0.004546363105589371,0.00018544554768595845,0.0325988307595253,-0.024263677521958016,0.0002299838048875513,0.011374415751550335,-0.008300828008775199,-0.06049950181692838,0.006502808175981037,0.1702
28,149,-0.02584824711084366,0.016020219773054123,-0.03786341194063425,-0.0320561927444732,0.005589790672988495,-0.03624853574921457,-0.03127213194966316,0.03966524451971054,-0.06102106533944607,-0.03878272615586587,0.013840035717301325,-0.04916275294384187,-0.0663381194025278,-0.019166850626468664,0.0
30,229,0.0011691510444507003,0.0053255679085850716,-0.0028250248869881034,0.0014499447899734405,0.0018582023371393798,5.629303711890562e-05,0.000864120724145323,0.002688624896109104,-0.001152347947936505,0.0010716556665877573,0.0009381176151349517,0.0003680674552365436,-0.053181358356028795,0.009901809811592098,0.3148
29,194,0.006557184271514416,0.019645096734166145,-0.008176638279110193,0.008132016146677636,0.006854586269740288,0.0029910764443724204,0.0019340085564181209,-0.013406014069914818,0.0019340085564181209,0.002398497305760868,-0.004677639475084198,0.002398497305760868,-0.047922692574560645,0.012823673740029332,0.333
27,89,0.009882794693112373,0.030259160324931145,-0.012811575550585985,0.012256334836862635,0.010558055666705627,0.004337793086833415,0.004688554909080267,0.015457171946763992,-0.006904324050992727,0.005814600085414361,0.005393331477519979,0.0017696014772743771,-0.05774071742594242,0.013502728551626203,0.2656
24,153,0.03226268291473389,0.09188035130500793,-0.036647580564022064,0.040011176677998576,0.03205898158897277,0.015966940486269003,0.017866726964712143,0.08453486114740372,-0.045534418895840645,0.02215775951218827,0.02949598601505642,3.577000089595439e-05,-0.10068935948982834,0.022159557338803988,0.116
34,239,0.03674804046750069,0.00044269979116506875,0.036416015624126885,0.04557377771716352,0.00015446724193826048,0.045457927285709826,0.04356412962079048,0.0023838854394853115,0.0417762155411765,0.05402687965186718,0.0008317876273783285,0.053403038931333434,0.02613568330556154,0.04500278935581445,1.0
36,252,-0.014420438557863235,-0.0005770009593106806,-0.014420438557863235,-0.017883779735174823,-0.00020132773622027388,-0.017883779735174823,-0.021998820826411247,0.007685855496674776,-0.02776321244891733,-0.027282253900564525,0.0026817561792449496,-0.029293571034998238,-0.034508347444236274,-0.010729861080646516,0.0
30,31,-0.017997926101088524,-0.00628496240824461,-0.017997926101088524,-0.02232046860366184,-0.0021929551995772322,-0.02232046860366184,-0.0069070481695234776,-0.0001999366213567555,-0.0069070481695234776,-0.008565906479775166,-6.97620804883479e-05,-0.008565906479775166,-0.032229039244353774,-0.004905566088855272,0.003
27,254,0.003208017908036709,-0.010184633545577526,0.003208017908036709,0.003978484109454568,-0.0035536322477067845,0.003978484109454568,0.004173534922301769,-0.010831339284777641,0.004173534922301769,0.00517588830381345,-0.0037792814435579705,0.00517588830381345,-0.018200492352247237,0.025290586471557602,0.5998
35,255,-0.0028172957245260477,-0.0020752078853547573,-0.0028172957245260477,-0.0034939226004884623,-0.0007240835548073608,-0.0034939226004884623,0.00926652830094099,0.0002398097567493096,0.009086670983379008,0.011492060409870662,8.367465369130687e-05,0.011429304419602182,-0.008823367420583964,0.002391389697790143,0.1378
29,93,-0.016142001375555992,-0.006877690088003874,-0.016142001375555992,-0.020018808438244048,-0.002399770318400587,-0.020018808438244048,-0.025570420548319817,-0.0073583247140049934,-0.025570420548319817,-0.031711640876038664,-0.002567473819825411,-0.031711640876038664,-0.025636219382286073,-0.006624597743153583,0.0
30,90,-0.025948476046323776,0.004703294485807419,-0.02947594691067934,-0.03218049355529979,0.0016410780889101668,-0.033411302121982414,-0.03473644331097603,-0.005657850299030542,-0.03473644331097603,-0.043079057440880766,-0.001974142632167949,-0.043079057440880766,-0.04639346309006215,-0.013917235799133787,0.0
36,41,0.026305630803108215,-0.0010171103058382869,0.026305630803108215,0.032623425784862256,-0.0003548911176947887,0.032623425784862256,0.03617941960692406,0.002284495159983635,0.03446604823693633,0.044868591797708045,0.0007971082743348292,0.04427076059195692,0.012276485115289688,0.03841052217781543,0.9998
26,165,0.0048444136045873165,-0.0025313859805464745,0.0048444136045873165,0.006007891195741922,-0.0008832536597027565,0.006007891195741922,-0.0008153629023581743,-0.008392088115215302,-0.0008153629023581743,-0.0010111877313228618,-0.0029281755517630505,-0.0010111877313228618,-0.014940072279423476,0.022259488459676496,0.634
6,91,0.02235843613743782,0.06188822165131569,-0.024057730101048946,0.02772823763302797,0.021594098523931675,0.011532663740079215,0.02895672246813774,0.053307339549064636,-0.011023782193660736,0.035911227276120866,0.018600048790490806,0.021961190683252762,-0.0715980345122516,0.019520330790430293,0.1396
15,130,0.00930691696703434,0.013541929423809052,-0.0008495301008224487,0.011542149178344152,0.004725063192628435,0.007998351783872825,0.012665849179029465,0.051004182547330856,-0.025587287731468678,0.01570779251739149,0.017796429008172094,0.0023604707612624176,-0.038819349318742744,0.02165079620480537,0.4756
33,212,-0.005343515891581774,-0.002636159770190716,-0.005343515891581774,-0.006626862340767451,-0.0009198114323440607,-0.006626862340767451,-0.007502777501940727,-0.00011872231698362157,-0.007502777501940727,-0.009304711483519204,-4.142470637430683e-05,-0.009304711483519204,-0.013609967909753322,0.001876262776553622,0.069
12,23,0.0022372198291122913,-0.0022838807199150324,0.0022372198291122913,0.0027745305028322384,-0.0007968938833081617,0.0027745305028322384,0.0005586141487583518,0.02588992565870285,-0.018858830095268786,0.0006927759064511312,0.009033538055127015,-0.00608237763489413,-0.029047377351671455,0.02032502753287552,0.4396
31,73,0.016750393435359,0.001172227319329977,0.01587122294586152,0.020773317362954485,0.0004090146969915026,0.02046655634021086,0.0192270465195179,-0.000599027844145894,0.0192270465195179,0.023844785547490904,-0.00020901337831202372,0.023844785547490904,-0.00020532838627696016,0.029399197496473784,0.974
31,38,0.034496862441301346,-0.05311102047562599,0.034496862441301346,0.04278193669210248,-0.018531548948342393,0.04278193669210248,0.04134340584278107,-0.06983330100774765,0.04134340584278107,0.05127280703894171,-0.024366303344581907,0.05127280703894171,0.027238840371370317,0.04152114087343215,1.0
24,206,0.024778513237833977,0.0020259057637304068,0.02325908391503617,0.030729542040793395,0.0007068810105527634,0.030199381282878822,0.029839172959327698,0.02632138319313526,0.010098135564476252,0.03700561495013738,0.009184082637905927,0.03011755297170793,-0.02583107992634177,0.03420343999564647,0.8176
39,95,0.011877482756972313,-0.03597293794155121,0.011877482756972313,0.014730084981930298,-0.012551712512951525,0.014730084981930298,0.012954468838870525,-0.03062245436012745,0.012954468838870525,0.01606572964968654,-0.010684816574999053,0.01606572964968654,0.010335640251636505,0.013484402269124986,1.0
16,17,0.028748907148838043,0.024919873103499413,0.010059002321213484,0.035653501175694866,0.0086950663735771,0.029132201395512043,0.013712989166378975,0.017709285020828247,0.0004310254007577896,0.017006422986257565,0.006179140962923803,0.012372067264064713,-0.03936868964508175,0.03491514787077903,0.6578
39,86,0.009847020730376244,0.0005528211477212608,0.009432404869585298,0.012211969080075132,0.0001928908928303663,0.012067300910452357,0.009048121981322765,0.0005888938903808594,0.00860645156353712,0.011221199680001065,0.00020547742930266202,0.011067091608024068,0.005546776287257672,0.012578174546360964,1.0
24,168,0.012638410553336143,0.004414030816406012,0.009327887441031635,0.015673763986555463,0.0015401479278911486,0.0145186530406371,0.008532864041626453,-0.015552043914794922,0.008532864041626453,0.010582192796586678,-0.0054264342969281955,0.010582192796586678,-0.011346188981086016,0.019162741001695387,0.8098
