layer,expert,selection_supervised_positions,selection_supervised_selected_hits,selection_supervised_selected_rate,selection_supervised_routing_mass,routing_rank
17,166,1561,237,0.1518257527226137,0.01667256816543882,400
14,22,1561,212,0.13581037796284434,0.016671004163997437,401
23,91,1561,235,0.15054452274183217,0.01666803256125881,402
14,66,1561,249,0.15951313260730302,0.016659743353619475,403
11,66,1561,208,0.13324791800128122,0.01665911775304292,404
11,248,1561,201,0.1287636130685458,0.01663315532911595,405
14,130,1561,210,0.13452914798206278,0.016619235716287636,406
11,87,1561,213,0.1364509929532351,0.016610320908071748,407
4,192,1561,251,0.16079436258808455,0.016595619294522742,408
27,173,1561,229,0.1467008327994875,0.016589519688901346,409
19,230,1561,173,0.1108263933376041,0.01658936328875721,410
7,141,1561,228,0.14606021780909673,0.01655432965647021,411
21,159,1561,262,0.16784112748238308,0.016544163647101217,412
9,83,1561,206,0.13196668802049968,0.016493333600256246,413
31,108,1561,241,0.15438821268417682,0.01647753718569827,414
7,186,1561,244,0.15631005765534914,0.01644203435297886,415
17,235,1561,220,0.14093529788597053,0.01640262151665599,416
11,67,1561,143,0.09160794362588084,0.016387607102818707,417
25,150,1561,249,0.15951313260730302,0.016353042670964126,418
37,26,1561,221,0.14157591287636132,0.016343658662315824,419
22,24,1561,197,0.1262011531069827,0.016324421444586804,420
25,116,1561,159,0.10185778347213324,0.01629032621316464,421
26,95,1561,240,0.15374759769378604,0.01626342538837284,422
27,51,1561,241,0.15438821268417682,0.016259046184336965,423
13,217,1561,228,0.14606021780909673,0.016252477378283153,424
9,26,1561,252,0.16143497757847533,0.01624278056934657,425
7,169,1561,209,0.133888532991672,0.016241842168481742,426
25,211,1561,174,0.11146700832799487,0.01621619254484305,427
1,221,1561,161,0.1031390134529148,0.0161805333119795,428
6,179,1561,214,0.13709160794362588,0.01614503047926009,429
16,111,1561,176,0.11274823830877642,0.016139869274503522,430
20,247,1561,253,0.1620755925688661,0.016135646470611786,431
7,1,1561,145,0.09288917360666239,0.016132362067584883,432
15,234,1561,189,0.1210762331838565,0.01612860846412556,433
37,126,1561,184,0.11787315823190263,0.01601224675688661,434
22,70,1561,224,0.14349775784753363,0.01597205191984305,435
31,31,1561,298,0.190903267136451,0.015929354680493273,436
30,229,1561,48,0.03074951953875721,0.0159249754764574,437
28,141,1561,263,0.16848174247277387,0.01592481907631326,438
14,49,1561,161,0.1031390134529148,0.015887752242152466,439
14,101,1561,167,0.10698270339525945,0.015841770599775786,440
